Cidade;País;Frota total;Emissões evitadas;Mortes evitadas;Quantidade em licitação;Frota elétrica;Tamanho Articulado a bateria (>18m);Tamanho Convencional a bateria (12-15m);Tamanho Dois andares a bateria;Tamanho Midi a bateria (8-11m);Tamanho Trólebus;Fabricante Zhongtong Bus;Fabricante Yutong bus;Fabricante BYD;Fabricante Eletra;Fabricante Foton;Fabricante Higer Bus Company Limited;Fabricante Volvo Buses;Fabricante Sunwin;Fabricante Scania;Fabricante Powertronics;Fabricante Yinlong;Fabricante Volkswagen;Fabricante Trolza;Fabricante Skywell;Fabricante Agrale;Fabricante OUTROS;Fabricante Mercedez-Benz;Fabricante Ankai;Fabricante Luka Electric;Fabricante King Long;Fabricante Karsan;Fabricante Irizar;Fabricante Dina;Fabricante AsiaStar;Fabricante Marcopolo
Buenos Aires;Argentina;12;;0;0;12;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0
Río Negro;Uruguai;1;1,52;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Flores;Uruguai;1;1,52;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
San José;Uruguai;1;1,52;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Maldonado;Uruguai;1;1,52;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Cerro largo;Uruguai;1;1,52;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Durazno;Uruguai;1;1,52;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Tacuarembo;Uruguai;1;1,52;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Rivera;Uruguai;1;1,52;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Artigas;Uruguai;1;1,52;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Montevideo - Area Metropolitana;Uruguai;100;64;0;0;100;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bertioga;Brasil;1;1,65;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vargem Grande Paulista;Brasil;3;4,95;0;0;3;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Osasco;Brasil;1;1,65;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Manaus;Brasil;2;3,29;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
